joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5896647572517395,0.0,0.0,0.0,0.13561540842056274,0.0,0.0,0.0,0.11691167950630188,0.0,0.09010571241378784,0.0,0.008769413456320763,0.0,0.0771779790520668,0.0,0.04251263290643692,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6029390096664429,0.0,0.0,0.0,0.13780510425567627,0.0,0.0,0.0,0.11731816828250885,0.0,0.09079410880804062,0.0,0.008762529119849205,0.0,0.07752126455307007,0.0,0.042438238859176636,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6125239133834839,0.0,0.0,0.0,0.1419222354888916,0.0,0.0,0.0,0.1206606924533844,0.0,0.08810658752918243,0.0,0.00894248392432928,0.0,0.07609420269727707,0.0,0.0435524508357048,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6171618700027466,0.0,0.0,0.0,0.1472482532262802,0.0,0.0,0.0,0.12616725265979767,0.0,0.08256141096353531,0.0,0.009268498048186302,0.0,0.07318664342164993,0.0,0.045575179159641266,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6160590052604675,0.0,0.0,0.0,0.15316487848758698,0.0,0.0,0.0,0.1331847459077835,0.0,0.07446855306625366,0.0,0.009706638753414154,0.0,0.06896553933620453,0.0,0.048272568732500076,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6091915965080261,0.0,0.0,0.0,0.15927737951278687,0.0,0.0,0.0,0.14131510257720947,0.0,0.06449885666370392,0.0,0.01022294256836176,0.0,0.06377312541007996,0.0,0.05148601531982422,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5972687602043152,0.0,0.0,0.0,0.16515885293483734,0.0,0.0,0.0,0.15007618069648743,0.0,0.053586725145578384,0.0,0.010775788687169552,0.0,0.058074574917554855,0.0,0.05501847341656685,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5815939903259277,0.0,0.0,0.0,0.17045050859451294,0.0,0.0,0.0,0.15897679328918457,0.0,0.0426325649023056,0.0,0.01132587343454361,0.0,0.05231597647070885,0.0,0.05866631865501404,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5637593865394592,0.0,0.0,0.0,0.17489080131053925,0.0,0.0,0.0,0.16753001511096954,0.0,0.03236466646194458,0.0,0.011840255931019783,0.0,0.04686547815799713,0.0,0.062225792557001114,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5456027984619141,0.0,0.0,0.0,0.17835654318332672,0.0,0.0,0.0,0.17529477179050446,0.0,0.023473529145121574,0.0,0.012289767153561115,0.0,0.042088449001312256,0.0,0.06549996137619019,0.0
